Category,Subcategory,Question,Option 1,Option 2,Option 3,Option 4,Answer
Software,basic,What is the output of `print(2 ** 3)`?,6,8,9,None of the above,b
Software,basic,Which of the following is a valid Python variable name?,1variable,variable_name,variable-name,variable name,b
Software,basic,What is the output of `print(type([]))`?,<class 'list'>,<class 'tuple'>,<class 'dict'>,<class 'set'>,a
Software,basic,Which of the following is used to define a block of code in Python?,Curly braces {},Parentheses (),Indentation,Square brackets [],c
Software,basic,What is the output of `print('Hello ' + 'World')`?,HelloWorld,Hello World,Hello+World,Error,b
Software,basic,Which of the following is not a valid Python data type?,List,Tuple,Array,Dictionary,c
Software,basic,What is the output of `print(bool(0))`?,TRUE,FALSE,None,Error,b
Software,basic,Which keyword is used to define a function in Python?,function,def,func,define,b
Software,basic,What is the output of `print(len('Python'))`?,5,6,7,Error,b
Software,basic,Which of the following is used to create an empty set in Python?,{},set(),[],(),b
Software,basic,What is the output of `print(10 // 3)`?,3.33,3,4,Error,b
Software,basic,Which of the following is used to handle exceptions in Python?,try-except,catch-finally,throw-catch,error-handling,a
Software,basic,What is the output of `print('Python'.lower())`?,python,PYTHON,Python,Error,a
Software,basic,Which of the following is used to import a module in Python?,include,import,require,use,b
Software,basic,What is the output of `print(5 > 3 and 2 < 4)`?,TRUE,FALSE,None,Error,a
Software,basic,Which type of loop iterates over a sequence in Python?,for,while,do-while,loop,a
Software,basic,What is the output of `print('Python'[1])`?,P,y,t,h,b
Software,basic,Which of the following is immutable in Python?,List,Tuple,Dictionary,Set,b
Software,basic,Which method adds an item to the end of a list?,append(),insert(),extend(),add(),a
Software,basic,Which statement is used to exit a loop prematurely?,break,continue,pass,exit,a
Software,basic,What is the output of `print(2 ** 3)`?,6,8,9,None of the above,b
Software,basic,Which of the following is a valid Python variable name?,1variable,variable_name,variable-name,variable name,b
Software,basic,What is the output of `print(type([]))`?,<class 'list'>,<class 'tuple'>,<class 'dict'>,<class 'set'>,a
Software,basic,Which of the following is used to define a block of code in Python?,Curly braces {},Parentheses (),Indentation,Square brackets [],c
Software,basic,What is the output of `print('Hello ' + 'World')`?,HelloWorld,Hello World,Hello+World,Error,b
Software,basic,Which of the following is not a valid Python data type?,List,Tuple,Array,Dictionary,c
Software,basic,What is the output of `print(bool(0))`?,TRUE,FALSE,None,Error,b
Software,basic,Which keyword is used to define a function in Python?,function,def,func,define,b
Software,basic,What is the output of `print(len('Python'))`?,5,6,7,Error,b
Software,basic,Which of the following is used to create an empty set in Python?,{},set(),[],(),b
Software,basic,What is the output of `print(10 // 3)`?,3.33,3,4,Error,b
Software,basic,Which of the following is used to handle exceptions in Python?,try-except,catch-finally,throw-catch,error-handling,a
Software,basic,What is the output of `print('Python'.lower())`?,python,PYTHON,Python,Error,a
Software,basic,Which of the following is used to import a module in Python?,include,import,require,use,b
Software,basic,What is the output of `print(5 > 3 and 2 < 4)`?,TRUE,FALSE,None,Error,a
